Gene	Family	Subtarget	MDR	CDD_MDR	CN_MDR	RF_rank	MDG	MCN Cytisus	RF score Cytisus	MCN Lathyrus	RF score Lathyrus	MCN L.corn.	RF score L.corn.	MCN L.ped.	RF score L.ped.	MCN Medicago	RF score Medicago	MCN Ononis	RF score Ononis	MCN Pisum	RF score Pisum	MCN Trifolium	RF score Trifolium	MDA
Or64_PMT5	PMT	PMT_586_1_1	Lathyrus	NA	0	43	0.5525	1	-0.005	0	0.0203	1	0.0105	1	0.0073	1	6e-04	1	-5e-04	0.75	0.0029	0.5	0.0072	0.0046
Or43_PMT1	PMT	PMT_499_1_1	Ononis	NA	0.5	44	0.5299	1	0.003	1	2e-04	1	0.0039	1	0.0019	1	0.003	0.5	0.0184	1	0.003	1	0.0012	0.0045
Gr73_PMT7	PMT	PMT_345_1_1	Cytisus	NA	0	45	0.4618	0	0.05	1	0	1	0.001	1	9e-04	1	0.0015	1	2e-04	1	0.0011	1	7e-04	0.0033
Or78_PMT5	PMT	PMT_628_1_2	Lathyrus	NA	0	46	0.4235	1	0.0019	0	0.023	1	0.0012	1	0.0016	1	0.0027	1	0.0029	1	0.0029	1	-2e-04	0.0043
Or16P	Or	Or_g8_1_7	Trifolium	FALSE	1.5	47	0.4048	1	0.0022	1	2e-04	1	-0.0036	1	-6e-04	1	-0.0015	1	0.0013	1	0.0063	1.5	0.0341	0.0016
poly(A)-specific ribonuclease (deadenylation nuclease) (LOC100161419)	Control	Control_g203_14_5	Cytisus	FALSE	0.5	48	0.3663	0.5	0.0186	1	2e-04	1	-0.0015	1	-0.001	1	0.0056	1	0.0016	1	0.0041	1	8e-04	0.0031
Or53	Or	Or_g49_3_2	Lathyrus	FALSE	0.5	49	0.3312	1	6e-04	0.5	0.0193	1	0.0025	1	0.002	1	0.0022	1	0.0016	1	0.0026	1	0.0015	0.0038
IR8a_5prime_500	PMT	PMT_648_1_6	Lathyrus	NA	0.5	50	0.2873	1	0.0016	0.5	0.0173	1	0.0038	1	-2e-04	1	0.0034	1	0.0015	1	0.0027	1	-7e-04	0.0036
Gr67P	Gr	Gr_g64_3_1	Trifolium	FALSE	0.75	51	0.2371	1	4e-04	1	1e-04	1	-0.0015	1	6e-04	1	-0.0018	1	4e-04	1	0.0017	0.75	0.0061	-2e-04
Or53_PMT1	PMT	PMT_559_1_1	Trifolium	NA	0.75	52	0.2266	1	1e-04	1	0	1	4e-04	1	3e-04	1	4e-04	1	0	1	4e-04	0.75	0.0049	6e-04
P450_XM_001951556	P450	P450_g58_1_5	Trifolium	FALSE	0.75	53	0.2256	1	2e-04	1	1e-04	1	6e-04	1	5e-04	1	0.001	1	-8e-04	1	8e-04	0.75	0.01	0.001
Gr43	Gr	Gr_g38_1_11	L.ped.	FALSE	1	54	0.2038	1	9e-04	1	1e-04	1	7e-04	1	0.0019	1	5e-04	1	0.0011	1	0.0013	1	-6e-04	8e-04
F57G4.9 (LOC100163310)	Control	Control_g133_2_1	L.corn.	FALSE	1	55	0.1829	1	-0.0017	1.5	3e-04	1	0.0032	1	-2e-04	1	0.001	1	-2e-04	1	0.003	1	-0.0011	7e-04
Gr77I	Gr	Gr_g75_2_1	Cytisus	FALSE	0.5	56	0.1799	0.5	0.0049	1	0	1	-0.0013	1	-0.0011	1	0	1	4e-04	1	0.0011	1	0.0011	1e-04
NM_001162102.1_PS2	PS	PS_g2_2_3	Pisum	NA	1	57	0.1744	1	0.001	1	0	1	5e-04	1	7e-04	1	-3e-04	1	0	1	0.0015	1	4e-04	2e-04
Or44_PMT12	PMT	PMT_517_1_1	Trifolium	NA	1	58	0.168	1	4e-04	1	1e-04	1	3e-04	1	0.001	1	0	1	1e-04	1	0.0011	1	0.0013	3e-04
P450_XM_001952415	P450	P450_g65_4_3	L.ped.	FALSE	1	59	0.1638	1	-0.0023	1	0	1	5e-04	1	0.0025	1	0.0012	1	4e-04	1	0.0012	1	6e-04	9e-04
BRCA1 associated RING domain 1 (LOC100166770)	Control	Control_g171_14_9	Pisum	FALSE	1	60	0.1474	1	-9e-04	1	1e-04	1	0.0016	1	9e-04	1	4e-04	1	0	1	0.002	1	-0.003	4e-04
DEAD box ATP-dependent RNA helicase (LOC100161814)	Control	Control_g149_1_1	Lathyrus	FALSE	0.5	61	0.1442	1	5e-04	0.5	0.0038	1	8e-04	1	7e-04	1	0.001	1	4e-04	1	7e-04	1	4e-04	0.0011
Gr16	Gr	Gr_g8_4_1	Ononis	FALSE	1	62	0.1364	1	3e-04	1	1e-04	1	9e-04	1	5e-04	1	7e-04	1	0.002	1	5e-04	1	-0.001	7e-04
mrpL13	Control	Control_g89_4_2	Pisum	FALSE	1	63	0.1334	1	-0.0018	1.25	2e-04	1	0.0013	1	8e-04	1	0.0013	1	4e-04	1	0.0016	1	5e-04	8e-04
P450_XM_001949467	P450	P450_g49_5_2	L.ped.	FALSE	1	64	0.1112	1	2e-04	1	0	1	2e-04	1	0.0017	1	4e-04	1	2e-04	1	2e-04	1	0	5e-04
cuticular protein (LOC100165741)_XM_001945292	Control	Control_g155_2_3	Trifolium	FALSE	1	65	0.1048	1	0	1	0	1	0	1	0	1	1e-04	1	0	1	0	1	0.001	1e-04
OBP7_PMT1	PMT	PMT_41_1_1	Trifolium	NA	1	66	0.1034	1	2e-04	1	0	1	2e-04	1	0	1	0	1	0	1	0	1	3e-04	1e-04
Gr72JP	Gr	Gr_g70_5_1	Pisum	FALSE	1	67	0.1009	1	1e-04	1	0	1	0	1	1e-04	1	1e-04	1	0	1	4e-04	1	0	1e-04
IR76b_5prime_500	PMT	PMT_647_1_1	Pisum	NA	1	68	0.0981	1	0	1	0	1	1e-04	1	-1e-04	1	-5e-04	1	1e-04	1	2e-04	1	-3e-04	-2e-04
CBX5 (LOC100163352)	Control	Control_g163_2_13	Cytisus	FALSE	1	69	0.0936	1	7e-04	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1e-04
myosin 15A (LOC100161434)	Control	Control_g87_6_6	Trifolium	FALSE	1	70	0.0873	1	0	1	0	1	-5e-04	1	3e-04	1	2e-04	1	0	1	1e-04	1	0.002	2e-04
P450_XM_001944991	P450	P450_g17_4_3	Lathyrus	FALSE	1.5	71	0.0847	1	-5e-04	1.5	3e-04	1	3e-04	1	2e-04	1	2e-04	1	2e-04	1	0	1	0	2e-04
Lamin CG6944-PA (LOC100166740)	Control	Control_g105_5_2	L.corn.	FALSE	1	72	0.0819	1	0	1	0	1	3e-04	1	0	1	1e-04	1	2e-04	1	1e-04	1	0	1e-04
phosphoglycerate mutase (LOC100162303)	Control	Control_g63_3_1	Lathyrus	FALSE	1.5	73	0.0739	1	1e-04	1.5	0.0014	1	4e-04	1	3e-04	1	3e-04	1	3e-04	1	2e-04	1	5e-04	4e-04
P450_XM_001948453	P450	P450_g38_7_1	Medicago	FALSE	1	74	0.0737	1	0	1	0	1	0	1	0	1	1e-04	1	-2e-04	1	0	1	0	0
ApisSNMP7_ref|XP_001947205.1|_GENE ID: 100163966 LOC100163966_5prime_500	PMT	PMT_655_1_1	Medicago	NA	1	75	0.0735	1	0	1	0	1	1e-04	1	1e-04	1	4e-04	1	3e-04	1	1e-04	1	3e-04	2e-04
Or17	Or	Or_g9_2_1	Pisum	FALSE	1	76	0.0679	1	1e-04	0.5	5e-04	1	2e-04	1	3e-04	1	4e-04	1	1e-04	1	7e-04	1	3e-04	3e-04
Cell division protein kinase 2 (p33 protein kinase) (LOC100162479)	Control	Control_g161_5_2	Pisum	FALSE	1	77	0.0653	1	1e-04	0.5	0	1	-5e-04	1	-3e-04	1	-2e-04	1	3e-04	1	0.0012	1	-0.0014	-1e-04
Or25	Or	Or_g18_4_2	Pisum	FALSE	1	78	0.0611	1	0	1	0	1	0	1	0	1	1e-04	1	0	1	2e-04	1	1e-04	1e-04
Gr43_PMT1	PMT	PMT_270_1_1	Pisum	NA	1	79	0.0604	1	3e-04	1	0	1	4e-04	1	-6e-04	1	-3e-04	1	1e-04	1	7e-04	1	-6e-04	-1e-04
Gr65P	Gr	Gr_g62_1_17	Pisum	FALSE	1	80	0.0549	1	1e-04	1	0	1	-0.001	1	1e-04	1	3e-04	1	0	1	5e-04	1	2e-04	1e-04
Gr6	Gr	Gr_g56_4_3	Cytisus	FALSE	1	81	0.0409	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0
calreticulin (LOC100161399)	Control	Control_g209_6_9	Cytisus	FALSE	1	82	0.0398	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0
calcium/calmodulin-dependent protein kinase kinase (LOC100165620)	Control	Control_g167_11_8	Cytisus	FALSE	1	83	0.0386	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0
CCE11	Control	Control_g162_10_9	Cytisus	FALSE	1	84	0.0364	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0
Or54_PMT1	PMT	PMT_571_1_1	Cytisus	NA	1	85	0.0358	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0
Or7_PMT3	PMT	PMT_599_1_1	Lathyrus	NA	1	86	0.0341	1	0	1	1e-04	1	0	1	0	1	0	1	0	1	0	1	0	0
SCY1-like 2 (LOC100166156)	Control	Control_g38_8_2	L.ped.	FALSE	1	87	0.025	1	0	1	0	1	0	1	3e-04	1	0	1	0	1	0	1	0	1e-04
Neprilysin 5 CG6265-PB (LOC100165822)	Control	Control_g204_13_2	Cytisus	FALSE	1	88	0.0236	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0
Or30	Or	Or_g24_5_1	L.ped.	FALSE	1	89	0.021	1	0	1	0	1	0	1	2e-04	1	1e-04	1	0	1	0	1	1e-04	1e-04
LOC100165977_SP3	SP	SP_g4_4_3	Cytisus	FALSE	1	90	0.0208	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0
Or49C	Or	Or_g44_2_2	Cytisus	FALSE	1	91	0.0192	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0
carboxylesterase (LOC100165600)	Control	Control_g166_8_1	Ononis	FALSE	1	92	0.0176	1	0	1	0	1	0	1	0	1	0	1	1e-04	1	0	1	0	0
OBP2_PMT1	PMT	PMT_9_1_1	Cytisus	NA	1	93	0.0172	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0
Or40_PMT3	PMT	PMT_490_1_1	Cytisus	NA	1	94	0.0168	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0
Syndecan binding protein (syntenin) (LOC100169637)	Control	Control_g24_5_10	Cytisus	FALSE	1	95	0.0163	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0
beta-1 tubulin (LOC100166084)	Control	Control_g176_1_1	Cytisus	FALSE	1	96	0.0139	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0
P450_XM_001947839	P450	P450_g31_6_3	Cytisus	FALSE	1	97	0.0138	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0
short-chain dehydrogenase (Acypi002738)	Control	Control_g35_6_9	Cytisus	FALSE	1	98	0.013	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0
syntaxin (LOC100161808)	Control	Control_g22_3_3	Cytisus	FALSE	1	99	0.0097	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0
nanchung CG5842-PA (LOC100161561)	Control	Control_g81_2_1	Cytisus	FALSE	1	100	0.0091	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0
P450_XM_001945065	P450	P450_g18_1_7	Cytisus	FALSE	1	101	0.0085	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0
Gr24	Gr	Gr_g17_1_12	Cytisus	FALSE	1	102	0.0084	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0
P450_XM_001947885	P450	P450_g32_2_2	Cytisus	FALSE	1	103	0.0081	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0
HMG-box protein (LOC100165687)	Control	Control_g114_2_2	Cytisus	FALSE	1	104	0.0076	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0
P450_XM_001952404	P450	P450_g64_7_1	Cytisus	FALSE	1	105	0.0074	1	0	1	0	1	0	1	0	1	0	1	0	1	-1e-04	1	0	0
T21D12.3 (LOC100165510)	Control	Control_g21_6_15	Cytisus	FALSE	1	106	0.0068	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0
ApisSNMP2_ref|XP_001946482.1| _GENE ID: 100167165 LOC100167165_5prime_500	PMT	PMT_651_1_10	Cytisus	NA	1	107	0.0067	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0
Or9_PMT1	PMT	PMT_635_1_1	Cytisus	NA	1	108	0.0067	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0
Or51	Or	Or_g47_6_1	Cytisus	FALSE	1	109	0.0047	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0
Or42	Or	Or_g37_5_1	Cytisus	FALSE	1	110	0.0025	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0
fascin (LOC100161521)	Control	Control_g131_6_8	Lathyrus	FALSE	1	111	0.0019	1	0	1	2e-04	1	0	1	0	1	0	1	0	1	0	1	0	0
P450_XM_001945326	P450	P450_g19_4_2	Cytisus	FALSE	1	112	0.001	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0
P450_XM_001944057	P450	P450_g10_1_1	Cytisus	FALSE	1	113	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0
ssm4 protein (LOC100161437)	Control	Control_g30_6_31	Cytisus	FALSE	1	114	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0
