"Gene"	"Aliases"	"Aliases3"	"GeneCateg"	"PromoterOf"	"contigV1"	"startV1"	"stopV1"	"strandV1"	"Npaths"	"contigV2"	"startV2"	"stopV2"	"strandV2"	"Qstart"	"Qstop"	"LQueryMapped"	"QueryLength"	"coverage"	"TrimmedCoverage"	"PcIdentity"	"matches"	"mismatches"	"indels"	"unknowns"	"TranslateStart"	"TranslateStop"	"NbOfAA"	"AAchanges"	"NewTargetName"
"Gr10"	"Gr_g2.2"	"Gr10.4"	"Gr"	"None"	"EQ127119"	13943	13851	"-"	1	"GL350104"	42458	42550	"+"	1	93	93	93	100	100	100	93	0	0	0	1	93	30	NA	"Gr_g2_2"
"Gr10"	"Gr_g2.3"	"Gr10.3"	"Gr"	"None"	"EQ127119"	14142	14053	"-"	1	"GL350104"	42259	42348	"+"	1	90	90	90	100	100	100	90	0	0	0	1	90	30	NA	"Gr_g2_3"
"Gr10"	"Gr_g2.4"	"Gr10.2"	"Gr"	"None"	"EQ127119"	15077	15000	"-"	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Gr_g2_4"
"Gr11"	"Gr_g3.1"	"Gr11.1"	"Gr"	"None"	"EQ123771"	517692	516924	"-"	1	"GL349887"	68486	69254	"+"	1	769	769	769	100	100	100	769	0	0	0	1	768	256	NA	"Gr_g3_1"
"Gr11"	"Gr_g3.2"	"Gr11.2"	"Gr"	"None"	"EQ123771"	512793	512510	"-"	1	"GL349887"	73378	73661	"+"	1	284	284	284	100	100	100	284	0	0	0	3	284	94	NA	"Gr_g3_2"
"Gr11"	"Gr_g3.3"	"Gr11.3"	"Gr"	"None"	"EQ123771"	511497	511408	"-"	1	"GL349887"	74674	74763	"+"	1	90	90	90	100	100	100	90	0	0	0	1	90	30	NA	"Gr_g3_3"
"Gr11"	"Gr_g3.4"	"Gr11.4"	"Gr"	"None"	"EQ123771"	510707	510648	"-"	1	"GL349887"	75464	75523	"+"	1	60	60	60	100	100	100	60	0	0	0	1	60	19	NA	"Gr_g3_4"
"Gr12"	"Gr_g4.1"	"Gr12.1"	"Gr"	"None"	"EQ114917"	1303	2373	"+"	1	"GL351330"	4034	5104	"+"	1	1071	1071	1071	100	100	99.9	1070	1	0	0	1	1071	357	NA	"Gr_g4_1"
"Gr12"	"Gr_g4.2"	"Gr12.2"	"Gr"	"None"	"EQ114917"	9051	9140	"+"	1	"GL351330"	11810	11899	"+"	1	90	90	90	100	100	100	90	0	0	0	1	90	29	NA	"Gr_g4_2"
"Gr13"	"Gr_g5.1"	"Gr13.1"	"Gr"	"None"	"EQ120388"	53062	52584	"-"	1	"GL349838"	136423	135945	"-"	1	479	479	479	100	100	100	479	0	0	0	1	477	159	NA	"Gr_g5_1"
"Gr13"	"Gr_g5.2"	"Gr13.2"	"Gr"	"None"	"EQ120388"	41920	41587	"-"	1	"GL349838"	125279	124946	"-"	1	334	334	334	100	100	100	334	0	0	0	2	334	111	NA	"Gr_g5_2"
"Gr13"	"Gr_g5.3"	"Gr13.5"	"Gr"	"None"	"EQ120388"	37486	37322	"-"	1	"GL349838"	120840	120676	"-"	1	165	165	165	100	100	100	165	0	0	0	1	165	54	NA	"Gr_g5_3"
"Gr13"	"Gr_g5.4"	"Gr13.4"	"Gr"	"None"	"EQ120388"	37651	37562	"-"	1	"GL349838"	121005	120916	"-"	1	90	90	90	100	100	100	90	0	0	0	1	90	30	NA	"Gr_g5_4"
"Gr13"	"Gr_g5.5"	"Gr13.3"	"Gr"	"None"	"EQ120388"	41501	41433	"-"	1	"GL349838"	124860	124792	"-"	1	69	69	69	100	100	100	69	0	0	0	1	69	23	NA	"Gr_g5_5"
"Gr14"	"Gr_g6.1"	"Gr14.2"	"Gr"	"None"	"EQ121792"	110313	110955	"+"	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Gr_g6_1"
"Gr14"	"Gr_g6.2"	"Gr14.1"	"Gr"	"None"	"EQ121792"	108060	108307	"+"	1	"GL350254"	66258	66011	"-"	1	248	248	248	100	100	100	248	0	0	0	1	246	82	NA	"Gr_g6_2"
"Gr14"	"Gr_g6.3"	"Gr14.5"	"Gr"	"None"	"EQ121792"	111895	112014	"+"	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Gr_g6_3"
"Gr14"	"Gr_g6.4"	"Gr14.4"	"Gr"	"None"	"EQ121792"	111719	111808	"+"	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Gr_g6_4"
"Gr14"	"Gr_g6.5"	"Gr14.3"	"Gr"	"None"	"EQ121792"	111556	111624	"+"	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Gr_g6_5"
"Gr15J"	"Gr_g7.1"	"Gr15J.4"	"Gr"	"None"	"EQ122330"	69475	69970	"+"	1	"GL350040"	365983	365488	"-"	1	496	496	496	100	100	100	496	0	0	0	3	494	164	NA	"Gr_g7_1"
"Gr15J"	"Gr_g7.2"	"Gr15J.3"	"Gr"	"None"	"EQ122330"	67306	67648	"+"	1	"GL350040"	368152	367810	"-"	1	343	343	343	100	100	98.8	339	4	0	0	1	189	62	NA	"Gr_g7_2"
"Gr15J"	"Gr_g7.3"	"Gr15J.5"	"Gr"	"None"	"EQ122330"	73151	73466	"+"	1	"GL350040"	362305	361990	"-"	1	316	316	316	100	100	100	316	0	0	0	2	316	105	NA	"Gr_g7_3"
"Gr15J"	"Gr_g7.4"	"Gr15J.1"	"Gr"	"None"	"EQ124408"	12118	11969	"-"	1	"GL350040"	353857	353708	"-"	1	150	150	150	100	100	100	150	0	0	0	1	150	49	NA	"Gr_g7_4"
"Gr15J"	"Gr_g7.5"	"Gr15J.2"	"Gr"	"None"	"EQ124408"	12508	12419	"-"	1	"GL350040"	354247	354158	"-"	1	90	90	90	100	100	100	90	0	0	0	1	90	30	NA	"Gr_g7_5"
"Gr16"	"Gr_g8.1"	"Gr16.1"	"Gr"	"None"	"EQ113354"	8794	7847	"-"	1	"GL350249"	49737	48790	"-"	1	948	948	948	100	100	100	948	0	0	0	1	948	316	NA	"Gr_g8_1"
"Gr16"	"Gr_g8.2"	"Gr16.3"	"Gr"	"None"	"EQ113354"	6018	5929	"-"	1	"GL350249"	46961	46872	"-"	1	90	90	90	100	100	100	90	0	0	0	1	90	30	NA	"Gr_g8_2"
"Gr16"	"Gr_g8.3"	"Gr16.2"	"Gr"	"None"	"EQ113354"	7689	7621	"-"	1	"GL350249"	48632	48564	"-"	1	69	69	69	100	100	100	69	0	0	0	1	69	23	NA	"Gr_g8_3"
"Gr16"	"Gr_g8.4"	"Gr16.4"	"Gr"	"None"	"EQ113354"	5778	5716	"-"	1	"GL350249"	46721	46659	"-"	1	63	63	63	100	100	100	63	0	0	0	1	63	20	NA	"Gr_g8_4"
"Gr17"	"Gr_g9.1"	"Gr17.1"	"Gr"	"None"	"EQ113354"	14832	13822	"-"	1	"GL350249"	55929	54919	"-"	1	1011	1011	1011	100	100	100	1011	0	0	0	1	1011	337	NA	"Gr_g9_1"
"Gr17"	"Gr_g9.2"	"Gr17.3"	"Gr"	"None"	"EQ113354"	12341	12252	"-"	1	"GL350249"	53284	53195	"-"	1	90	90	90	100	100	100	90	0	0	0	1	90	30	NA	"Gr_g9_2"
"Gr17"	"Gr_g9.3"	"Gr17.2"	"Gr"	"None"	"EQ113354"	12496	12428	"-"	1	"GL350249"	53439	53371	"-"	1	69	69	69	100	100	100	69	0	0	0	1	69	23	NA	"Gr_g9_3"
"Gr17"	"Gr_g9.4"	"Gr17.4"	"Gr"	"None"	"EQ113354"	12174	12112	"-"	1	"GL350249"	53117	53055	"-"	1	63	63	63	100	100	100	63	0	0	0	1	63	20	NA	"Gr_g9_4"
"Gr18"	"Gr_g10.1"	"Gr18.1"	"Gr"	"None"	"EQ118840"	10741	11694	"+"	1	"GL350249"	166997	166044	"-"	1	954	954	954	100	100	100	954	0	0	0	1	954	318	NA	"Gr_g10_1"
"Gr18"	"Gr_g10.2"	"Gr18.3"	"Gr"	"None"	"EQ118840"	13173	13262	"+"	1	"GL350249"	164565	164476	"-"	1	90	90	90	100	100	100	90	0	0	0	1	90	30	NA	"Gr_g10_2"
"Gr18"	"Gr_g10.3"	"Gr18.2"	"Gr"	"None"	"EQ118840"	12981	13049	"+"	1	"GL350249"	164757	164689	"-"	1	69	69	69	100	100	100	69	0	0	0	1	69	23	NA	"Gr_g10_3"
"Gr18"	"Gr_g10.4"	"Gr18.4"	"Gr"	"None"	"EQ118840"	14930	14983	"+"	1	"GL350249"	162808	162755	"-"	1	54	54	54	100	100	100	54	0	0	0	1	54	17	NA	"Gr_g10_4"
"Gr19"	"Gr_g11.1"	"Gr19.1"	"Gr"	"None"	"EQ118840"	16151	17200	"+"	1	"GL350249"	161587	160538	"-"	1	1050	1050	1050	100	100	100	1050	0	0	0	1	1050	350	NA	"Gr_g11_1"
"Gr19"	"Gr_g11.2"	"Gr19.3"	"Gr"	"None"	"EQ118840"	20622	20711	"+"	1	"GL350249"	157116	157027	"-"	1	90	90	90	100	100	100	90	0	0	0	1	90	30	NA	"Gr_g11_2"
"Gr19"	"Gr_g11.3"	"Gr19.2"	"Gr"	"None"	"EQ118840"	18248	18316	"+"	1	"GL350249"	159490	159422	"-"	1	69	69	69	100	100	100	69	0	0	0	1	69	23	NA	"Gr_g11_3"
"Gr19"	"Gr_g11.4"	"Gr19.4"	"Gr"	"None"	"EQ118840"	20857	20922	"+"	1	"GL350249"	156881	156816	"-"	1	66	66	66	100	100	100	66	0	0	0	1	66	21	NA	"Gr_g11_4"
"Gr2"	"Gr_g12.1"	"Gr2.5"	"Gr"	"None"	"EQ126506"	78195	77921	"-"	1	"GL350420"	79497	79223	"-"	1	275	275	275	100	100	100	275	0	0	0	3	275	91	NA	"Gr_g12_1"
"Gr2"	"Gr_g12.2"	"Gr2.2"	"Gr"	"None"	"EQ126506"	81903	81708	"-"	1	"GL350420"	83205	83010	"-"	1	196	196	196	100	100	100	196	0	0	0	3	194	64	NA	"Gr_g12_2"
"Gr2"	"Gr_g12.3"	"Gr2.4"	"Gr"	"None"	"EQ126506"	78553	78368	"-"	1	"GL350420"	79855	79670	"-"	1	186	186	186	100	100	100	186	0	0	0	3	185	61	NA	"Gr_g12_3"
"Gr2"	"Gr_g12.4"	"Gr2.7"	"Gr"	"None"	"EQ126506"	76622	76460	"-"	1	"GL350420"	77924	77762	"-"	1	163	163	163	100	100	100	163	0	0	0	2	163	54	NA	"Gr_g12_4"
"Gr2"	"Gr_g12.5"	"Gr2.1"	"Gr"	"None"	"EQ126506"	82208	82052	"-"	1	"GL350420"	83510	83354	"-"	1	157	157	157	100	100	100	157	0	0	0	1	156	52	NA	"Gr_g12_5"
"Gr2"	"Gr_g12.6"	"Gr2.6"	"Gr"	"None"	"EQ126506"	76847	76693	"-"	1	"GL350420"	78149	77995	"-"	1	155	155	155	100	100	100	155	0	0	0	1	153	51	NA	"Gr_g12_6"
"Gr2"	"Gr_g12.7"	"Gr2.3"	"Gr"	"None"	"EQ126506"	79226	79108	"-"	1	"GL350420"	80528	80410	"-"	1	119	119	119	100	100	100	119	0	0	0	2	118	39	NA	"Gr_g12_7"
"Gr2"	"Gr_g12.8"	"Gr2.9"	"Gr"	"None"	"EQ126506"	76198	76085	"-"	1	"GL350420"	77500	77387	"-"	1	114	114	114	100	100	100	114	0	0	0	1	114	37	NA	"Gr_g12_8"
"Gr2"	"Gr_g12.9"	"Gr2.8"	"Gr"	"None"	"EQ126506"	76376	76287	"-"	1	"GL350420"	77678	77589	"-"	1	90	90	90	100	100	100	90	0	0	0	1	90	30	NA	"Gr_g12_9"
"Gr20"	"Gr_g13.1"	"Gr20.1"	"Gr"	"None"	"EQ111895"	26740	25766	"-"	1	"GL349869"	519268	520242	"+"	1	975	975	975	100	100	100	975	0	0	0	1	975	325	NA	"Gr_g13_1"
"Gr20"	"Gr_g13.2"	"Gr20.3"	"Gr"	"None"	"EQ111895"	24759	24670	"-"	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Gr_g13_2"
"Gr20"	"Gr_g13.3"	"Gr20.4"	"Gr"	"None"	"EQ111895"	23554	23468	"-"	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Gr_g13_3"
"Gr20"	"Gr_g13.4"	"Gr20.2"	"Gr"	"None"	"EQ111895"	24911	24843	"-"	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Gr_g13_4"
"Gr21"	"Gr_g14.1"	"Gr21.1"	"Gr"	"None"	"EQ111895"	18790	17906	"-"	1	"GL349869"	460900	461784	"+"	1	885	885	885	100	100	100	885	0	0	0	1	885	295	NA	"Gr_g14_1"
"Gr21"	"Gr_g14.2"	"Gr21.3"	"Gr"	"None"	"EQ111895"	10207	10118	"-"	1	"GL349869"	469416	469505	"+"	1	90	90	90	100	100	100	90	0	0	0	1	90	30	NA	"Gr_g14_2"
"Gr21"	"Gr_g14.3"	"Gr21.2"	"Gr"	"None"	"EQ111895"	10348	10280	"-"	1	"GL349869"	469275	469343	"+"	1	69	69	69	100	100	100	69	0	0	0	1	69	23	NA	"Gr_g14_3"
"Gr21"	"Gr_g14.4"	"Gr21.4"	"Gr"	"None"	"EQ111895"	9976	9914	"-"	1	"GL349869"	469647	469709	"+"	1	63	63	63	100	100	100	63	0	0	0	1	63	20	NA	"Gr_g14_4"
"Gr22C"	"Gr_g15.1"	"Gr22C.1"	"Gr"	"None"	"EQ111895"	5906	5004	"-"	1	"GL349869"	473717	474619	"+"	1	903	903	903	100	100	100	903	0	0	0	1	903	301	NA	"Gr_g15_1"
"Gr22C"	"Gr_g15.2"	"Gr22C.3"	"Gr"	"None"	"EQ111895"	2627	2538	"-"	1	"GL349869"	476996	477085	"+"	1	90	90	90	100	100	100	90	0	0	0	1	90	30	NA	"Gr_g15_2"
"Gr22C"	"Gr_g15.3"	"Gr22C.2"	"Gr"	"None"	"EQ111895"	2762	2694	"-"	1	"GL349869"	476861	476929	"+"	1	69	69	69	100	100	100	69	0	0	0	1	69	23	NA	"Gr_g15_3"
"Gr23P"	"Gr_g16.1"	"Gr23P.1"	"Gr"	"None"	"EQ123819"	55783	55076	"-"	1	"GL349869"	404562	405269	"+"	1	708	708	708	100	100	98.3	696	12	0	0	1	708	236	"N15S [42] V16L [45] I17T [48] K25N [72] F164L [489] I229T [684] T234K [699]"	"Gr_g16_1"
"Gr23P"	"Gr_g16.2"	"Gr23P.2"	"Gr"	"None"	"EQ123819"	49790	49719	"-"	1	"GL349869"	498160	498231	"+"	1	72	72	72	100	100	100	72	0	0	0	2	67	21	NA	"Gr_g16_2"
"Gr24"	"Gr_g17.1"	"Gr24.1"	"Gr"	"None"	"EQ123819"	46316	45357	"-"	1	"GL349869"	412006	412965	"+"	1	960	960	960	100	100	100	960	0	0	0	1	960	320	NA	"Gr_g17_1"
"Gr24"	"Gr_g17.2"	"Gr24.3"	"Gr"	"None"	"EQ123819"	43179	43090	"-"	1	"GL349869"	392333	392422	"+"	1	90	90	90	100	100	100	90	0	0	0	1	90	30	NA	"Gr_g17_2"
"Gr24"	"Gr_g17.3"	"Gr24.2"	"Gr"	"None"	"EQ123819"	43314	43246	"-"	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Gr_g17_3"
"Gr24"	"Gr_g17.4"	"Gr24.4"	"Gr"	"None"	"EQ123819"	42506	42456	"-"	1	"GL349869"	393006	393056	"+"	1	51	51	51	100	100	100	51	0	0	0	1	51	16	NA	"Gr_g17_4"
"Gr25"	"Gr_g18.1"	"Gr25.1"	"Gr"	"None"	"EQ123819"	41423	40554	"-"	1	"GL349869"	394089	394958	"+"	1	870	870	870	100	100	100	870	0	0	0	1	870	290	NA	"Gr_g18_1"
"Gr25"	"Gr_g18.2"	"Gr25.3"	"Gr"	"None"	"EQ123819"	39573	39484	"-"	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Gr_g18_2"
"Gr25"	"Gr_g18.3"	"Gr25.2"	"Gr"	"None"	"EQ123819"	39705	39637	"-"	1	"GL349869"	395807	395875	"+"	1	69	69	69	100	100	100	69	0	0	0	1	69	23	NA	"Gr_g18_3"
"Gr25"	"Gr_g18.4"	"Gr25.4"	"Gr"	"None"	"EQ123819"	38977	38927	"-"	1	"GL349869"	396535	396585	"+"	1	51	51	51	100	100	100	51	0	0	0	1	51	16	NA	"Gr_g18_4"
"Gr26C"	"Gr_g19.1"	"Gr26C.1"	"Gr"	"None"	"EQ123819"	38566	37637	"-"	1	"GL349869"	396946	397875	"+"	1	930	930	930	100	100	100	930	0	0	0	1	930	310	NA	"Gr_g19_1"
"Gr26C"	"Gr_g19.2"	"Gr26C.3"	"Gr"	"None"	"EQ123819"	36704	36615	"-"	1	"GL349869"	398808	398897	"+"	1	90	90	90	100	100	100	90	0	0	0	1	90	30	NA	"Gr_g19_2"
"Gr26C"	"Gr_g19.3"	"Gr26C.2"	"Gr"	"None"	"EQ123819"	36846	36778	"-"	1	"GL349869"	398666	398734	"+"	1	69	69	69	100	100	100	69	0	0	0	1	69	23	NA	"Gr_g19_3"
"Gr27"	"Gr_g20.1"	"Gr27.1"	"Gr"	"None"	"EQ123819"	31208	30303	"-"	1	"GL349869"	404364	405269	"+"	1	906	906	906	100	100	99.8	904	2	0	0	1	906	302	"V82L [243] T108I [321]"	"Gr_g20_1"
"Gr27"	"Gr_g20.2"	"Gr27.3"	"Gr"	"None"	"EQ123819"	25514	25425	"-"	1	"GL349869"	410181	410270	"+"	1	90	90	90	100	100	100	90	0	0	0	1	90	30	NA	"Gr_g20_2"
"Gr27"	"Gr_g20.3"	"Gr27.2"	"Gr"	"None"	"EQ123819"	25663	25595	"-"	1	"GL349869"	410032	410100	"+"	1	69	69	69	100	100	100	69	0	0	0	1	69	23	NA	"Gr_g20_3"
"Gr27"	"Gr_g20.4"	"Gr27.4"	"Gr"	"None"	"EQ123819"	23535	23485	"-"	1	"GL349869"	416478	416528	"+"	1	51	51	51	100	100	100	51	0	0	0	1	51	16	NA	"Gr_g20_4"
"Gr28P"	"Gr_g21.1"	"Gr28P.1"	"Gr"	"None"	"EQ123819"	21859	21264	"-"	1	"GL349869"	418234	418834	"+"	1	596	596	596	100	100	99.2	596	0	5	0	3	522	174	NA	"Gr_g21_1"
"Gr29P"	"Gr_g22.1"	"Gr29P.1"	"Gr"	"None"	"EQ123819"	19968	19519	"-"	1	"GL349869"	420130	420579	"+"	1	450	450	450	100	100	99.3	447	3	0	0	1	450	150	"P49S [144] I69F [204] Q142L [423]"	"Gr_g22_1"
"Gr29P"	"Gr_g22.2"	"Gr29P.3"	"Gr"	"None"	"EQ123819"	18023	17934	"-"	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Gr_g22_2"
"Gr29P"	"Gr_g22.3"	"Gr29P.2"	"Gr"	"None"	"EQ123819"	18155	18087	"-"	1	"GL349869"	421940	422008	"+"	1	69	69	69	100	100	100	69	0	0	0	1	69	23	NA	"Gr_g22_3"
"Gr3"	"Gr_g23.1"	"Gr3.5"	"Gr"	"None"	"EQ126506"	64092	63818	"-"	1	"GL350420"	65044	64770	"-"	1	275	275	275	100	100	100	275	0	0	0	3	275	91	NA	"Gr_g23_1"
"Gr3"	"Gr_g23.2"	"Gr3.2"	"Gr"	"None"	"EQ126506"	67834	67639	"-"	1	"GL350420"	68810	68615	"-"	1	196	196	196	100	100	100	196	0	0	0	3	197	65	NA	"Gr_g23_2"
"Gr3"	"Gr_g23.3"	"Gr3.4"	"Gr"	"None"	"EQ126506"	64426	64241	"-"	1	"GL350420"	65378	65193	"-"	1	186	186	186	100	100	100	186	0	0	0	3	185	61	NA	"Gr_g23_3"
"Gr3"	"Gr_g23.4"	"Gr3.7"	"Gr"	"None"	"EQ126506"	60775	60613	"-"	1	"GL350420"	61401	61239	"-"	1	163	163	163	100	100	100	163	0	0	0	2	163	54	NA	"Gr_g23_4"
"Gr3"	"Gr_g23.5"	"Gr3.1"	"Gr"	"None"	"EQ126506"	68132	67976	"-"	1	"GL350420"	69108	68952	"-"	1	157	157	157	100	100	100	157	0	0	0	1	156	52	NA	"Gr_g23_5"
"Gr3"	"Gr_g23.6"	"Gr3.6"	"Gr"	"None"	"EQ126506"	61000	60846	"-"	1	"GL350420"	61626	61472	"-"	1	155	155	155	100	100	100	155	0	0	0	1	153	51	NA	"Gr_g23_6"
"Gr3"	"Gr_g23.7"	"Gr3.3"	"Gr"	"None"	"EQ126506"	66854	66736	"-"	1	"GL350420"	67830	67712	"-"	1	119	119	119	100	100	100	119	0	0	0	2	118	39	NA	"Gr_g23_7"
"Gr3"	"Gr_g23.8"	"Gr3.9"	"Gr"	"None"	"EQ126506"	60359	60246	"-"	1	"GL350420"	60985	60872	"-"	1	114	114	114	100	100	100	114	0	0	0	1	114	37	NA	"Gr_g23_8"
"Gr3"	"Gr_g23.9"	"Gr3.8"	"Gr"	"None"	"EQ126506"	60528	60439	"-"	1	"GL350420"	61154	61065	"-"	1	90	90	90	100	100	100	90	0	0	0	1	90	30	NA	"Gr_g23_9"
"Gr30"	"Gr_g24.1"	"Gr30.1"	"Gr"	"None"	"EQ123819"	17063	16131	"-"	1	"GL349869"	423033	423965	"+"	1	933	933	933	100	100	99.9	932	1	0	0	1	933	311	"I26V [75]"	"Gr_g24_1"
"Gr30"	"Gr_g24.2"	"Gr30.3"	"Gr"	"None"	"EQ123819"	15415	15326	"-"	1	"GL349869"	424712	424801	"+"	1	90	90	90	100	100	100	90	0	0	0	1	90	30	NA	"Gr_g24_2"
"Gr30"	"Gr_g24.3"	"Gr30.2"	"Gr"	"None"	"EQ123819"	15545	15477	"-"	1	"GL349869"	424581	424649	"+"	1	69	69	69	100	100	100	69	0	0	0	1	69	23	NA	"Gr_g24_3"
"Gr30"	"Gr_g24.4"	"Gr30.4"	"Gr"	"None"	"EQ123819"	10853	10803	"-"	1	"GL349869"	429271	429321	"+"	1	51	51	51	100	100	100	51	0	0	0	1	51	16	NA	"Gr_g24_4"
"Gr31"	"Gr_g25.1"	"Gr31.1"	"Gr"	"None"	"EQ127765"	479	1396	"+"	1	"GL349869"	483062	483979	"+"	1	918	918	918	100	100	100	918	0	0	0	1	918	306	NA	"Gr_g25_1"
"Gr31"	"Gr_g25.2"	"Gr31.3"	"Gr"	"None"	"EQ127765"	3578	3667	"+"	1	"GL349869"	486161	486250	"+"	1	90	90	90	100	100	100	90	0	0	0	1	90	30	NA	"Gr_g25_2"
"Gr31"	"Gr_g25.3"	"Gr31.2"	"Gr"	"None"	"EQ127765"	3154	3222	"+"	1	"GL349869"	485737	485805	"+"	1	69	69	69	100	100	100	69	0	0	0	1	69	23	NA	"Gr_g25_3"
"Gr31"	"Gr_g25.4"	"Gr31.4"	"Gr"	"None"	"EQ127765"	4480	4530	"+"	1	"GL349869"	487063	487112	"+"	1	51	51	51	100	100	98	50	0	1	0	3	51	15	NA	"Gr_g25_4"
"Gr32"	"Gr_g26.1"	"Gr32.1"	"Gr"	"None"	"EQ114342"	29555	28611	"-"	1	"GL349623"	821589	822533	"+"	1	945	945	945	100	100	100	945	0	0	0	1	945	315	NA	"Gr_g26_1"
"Gr32"	"Gr_g26.2"	"Gr32.3"	"Gr"	"None"	"EQ114342"	26766	26683	"-"	1	"GL349623"	824378	824461	"+"	1	84	84	84	100	100	100	84	0	0	0	1	84	28	NA	"Gr_g26_2"
"Gr32"	"Gr_g26.3"	"Gr32.2"	"Gr"	"None"	"EQ114342"	26915	26847	"-"	1	"GL349623"	824229	824297	"+"	1	69	69	69	100	100	100	69	0	0	0	1	69	23	NA	"Gr_g26_3"
"Gr32"	"Gr_g26.4"	"Gr32.4"	"Gr"	"None"	"EQ114342"	26541	26479	"-"	1	"GL349623"	824603	824665	"+"	1	63	63	63	100	100	100	63	0	0	0	1	63	20	NA	"Gr_g26_4"
"Gr33"	"Gr_g27.1"	"Gr33.1"	"Gr"	"None"	"EQ114342"	23760	22903	"-"	1	"GL349623"	827384	828241	"+"	1	858	858	858	100	100	100	858	0	0	0	1	858	286	NA	"Gr_g27_1"
"Gr33"	"Gr_g27.2"	"Gr33.3"	"Gr"	"None"	"EQ114342"	22077	21988	"-"	1	"GL349623"	829067	829156	"+"	1	90	90	90	100	100	100	90	0	0	0	1	90	30	NA	"Gr_g27_2"
