	Cytisus	Lathyrus	L.corn.	L.ped.	Medicago	Ononis	Pisum	Trifolium	MeanDecreaseAccuracy	MeanDecreaseGini
Control_g73_3_1	4e-04	0.0056	0.001	0.001	0.0012	0.0012	0.0011	6e-04	0.0015	0.1763
PMT_516_1_1	4e-04	1e-04	-1e-04	0.0026	-0.001	0	0.0021	-0.0011	2e-04	0.165
Gr_g64_1_3	2e-04	2e-04	-6e-04	0	5e-04	5e-04	-0.0012	0	1e-04	0.1541
PMT_270_1_1	6e-04	0	0.001	-0.001	-8e-04	1e-04	0.0023	0.0012	2e-04	0.1478
Control_g161_6_10	0.001	4e-04	1e-04	-2e-04	2e-04	4e-04	0.0043	-2e-04	5e-04	0.1455
Control_g14_11_3	0.0012	0.0043	0.0012	7e-04	9e-04	8e-04	0.0013	-4e-04	0.001	0.1304
Or_g26_4_2	1e-04	0	0	0	3e-04	0	0	3e-04	2e-04	0.1298
PMT_647_1_2	0	0	0	-1e-04	-0.001	2e-04	1e-04	3e-04	-2e-04	0.1284
PMT_319_1_1	0	0	8e-04	4e-04	-2e-04	2e-04	2e-04	4e-04	2e-04	0.1214
P450_g17_4_2	3e-04	0	4e-04	2e-04	6e-04	0	-8e-04	0.0011	3e-04	0.1034
PMT_262_1_1	0	1e-04	3e-04	5e-04	0.0014	2e-04	0.0011	-2e-04	6e-04	0.0945
P450_g65_4_2	-0.001	0	2e-04	3e-04	3e-04	1e-04	2e-04	2e-04	2e-04	0.0866
Control_g88_1_2	0	0	0	0	0	0	0	0	0	0.0835
Control_g105_4_3	0	0	2e-04	2e-04	1e-04	0	0	3e-04	1e-04	0.0789
Control_g163_2_10	4e-04	0	0	1e-04	0	0	0	0	0	0.0744
Or_g9_3_1	7e-04	0.0012	4e-04	2e-04	6e-04	2e-04	6e-04	-6e-04	4e-04	0.0733
Control_g162_10_12	0	0	2e-04	0	4e-04	0	0	-3e-04	1e-04	0.0693
Control_g89_4_1	-4e-04	1e-04	4e-04	6e-04	3e-04	5e-04	4e-04	0	3e-04	0.0664
Gr_g70_5_1	0	0	0	2e-04	2e-04	0	0	1e-04	1e-04	0.0655
SP_g4_4_2	0	0	0	6e-04	1e-04	0	1e-04	0	1e-04	0.0601
PMT_655_1_7	1e-04	0	5e-04	0	1e-04	0	0	1e-04	1e-04	0.05
Control_g171_5_2	0	0	0	0	1e-04	0	1e-04	5e-04	1e-04	0.0463
P450_g31_2_1	0	0	0	0	0	0	0	0	0	0.0331
Or_g36_5_1	1e-04	0	0	1e-04	0	1e-04	0	0	0	0.0319
Control_g87_6_4	0	0	-2e-04	0	0	0	0	-4e-04	-1e-04	0.0308
Control_g38_8_1	0	0	2e-04	3e-04	0	0	0	0	1e-04	0.0292
Gr_g17_1_12	0	-1e-04	0	0	3e-04	0	-1e-04	0	1e-04	0.0289
P450_g10_1_8	-3e-04	2e-04	2e-04	1e-04	1e-04	0	0	0	1e-04	0.0287
Or_g44_1_10	1e-04	2e-04	0	0	0	0	1e-04	0	0	0.0277
Or_g24_5_1	0	0	0	2e-04	0	0	0	0	0	0.0267
P450_g18_4_1	0	0	0	0	0	0	0	0	0	0.0262
PMT_57_1_1	0	0	0	0	0	0	0	0	0	0.0217
PMT_445_1_1	0	0	0	0	0	0	0	0	0	0.0216
Control_g204_13_1	0	0	0	0	0	0	0	0	0	0.0209
Control_g166_9_2	0	0	0	1e-04	0	1e-04	0	0	0	0.0186
Control_g78_3_5	0	0	0	0	0	0	0	0	0	0.0174
Control_g176_1_1	0	0	0	0	0	0	0	0	0	0.0173
Control_g167_11_4	0	0	0	0	0	0	0	0	0	0.0171
Gr_g62_1_18	2e-04	0	0	-1e-04	0	0	0	0	0	0.0142
Gr_g30_1_7	0	0	0	0	0	0	0	0	0	0.0139
Control_g209_6_2	0	0	0	0	0	0	0	0	0	0.0128
Control_g114_2_2	0	0	0	0	0	0	0	0	0	0.0125
Control_g111_1_1	0	0	0	0	0	0	0	0	0	0.0116
Or_g37_1_2	0	0	0	0	0	0	0	0	0	0.0092
P450_g64_4_4	0	0	0	0	0	0	0	0	0	0.0077
PMT_651_1_8	0	0	0	0	0	0	0	0	0	0.0074
Control_g21_6_3	0	0	0	0	0	0	0	0	0	0.005
Control_g131_6_10	0	0	0	0	0	0	0	0	0	0.0043
Control_g95_2_2	0	0	0	0	0	0	0	0	0	3e-04
